site,S1-S2,S2-S3,S3-S4,S4-S5,S5-S6,S6-S7,S7-S8,mean,sd,rho
RB10,100.460831476229,121.02335175965902,97.11321435433663,110.71887630468471,113.86015579734149,133.4762457590082,93.85195019997019,110.02166789391526,0.22956462083624718,0.9739941733251716
RB11,122.89787050547574,125.02619430921146,95.44742381185219,112.09176729337372,102.80564704662729,128.52499454519875,129.61684459579953,116.6855536785576,0.21735425829712057,0.9766553655649906
RB13,117.82101332241989,125.66306885483937,108.34291127784917,110.47281088534822,107.20152080677163,124.99898418520353,97.24922433917791,113.11110063862749,0.16674188589044642,0.9861947504092019
RB8,124.8715594752853,130.36640967411836,96.45476828983928,111.47642446665593,116.80589107850173,96.39523881317338,126.96019164609129,114.80366608409834,0.22748188026569927,0.9744578607147286
RB9,123.07671123938846,113.49244607284248,93.06442968905147,102.50921774979565,115.82146619225571,119.46974985879689,100.77085881342396,109.75947725371658,0.1790887768722326,0.9840915033924659
