"","tau.RB10","tau.RB11","tau.RB13","tau.RB8","tau.RB9","p.value.RB10","p.value.RB11","p.value.RB13","p.value.RB8","p.value.RB9"
"RB10",NA,0.277777777777778,-0.0555555555555556,-0.111111111111111,0.0555555555555556,NA,0.358487654320988,0.919455467372134,0.761414241622575,0.919455467372134
"RB11",0.0555555555555556,NA,-0.444444444444445,-0.0555555555555556,0.0555555555555556,0.919455467372134,NA,0.1194389329806,0.919455467372134,0.919455467372134
"RB13",-0.277777777777778,0,NA,-0.166666666666667,-0.111111111111111,0.358487654320988,1,NA,0.612202380952381,0.761414241622575
"RB8",-0.111111111111111,0.111111111111111,-0.111111111111111,NA,-0.222222222222222,0.761414241622575,0.761414241622575,0.761414241622575,NA,0.476708553791887
"RB9",-0.0555555555555556,-0.111111111111111,-0.166666666666667,-0.166666666666667,NA,0.919455467372134,0.761414241622575,0.612202380952381,0.612202380952381,NA
